Bucket label,RT,m/z,Name,Formula,Peak number
651.90170 Da 10.90 s,0.18,652.90897,,,bin_142
960.95063 Da 10.90 s,0.18,961.9579,,C28H11N13O23S2,bin_143
965.28858 Da 10.90 s,0.18,966.29586,,,bin_144
757.44293 Da 10.90 s,0.18,758.4502,,,bin_145
1059.94942 Da 10.90 s,0.18,1060.95669,,C26H52N4O10S15,bin_146
1070.95436 Da 10.90 s,0.18,1071.96163,,,bin_147
1123.96721 Da 10.90 s,0.18,1124.97449,,C41H28N18S11,bin_148
1092.96268 Da 10.90 s,0.18,1093.96996,,C22H27N15O25S6,bin_149
974.28778 Da 10.90 s,0.18,975.29506,,C26H64N4O28P2S,bin_150
105.92566 Da 10.90 s,0.18,106.93294,,,bin_151
1607.88931 Da 10.90 s,0.18,804.95193,,,bin_152
745.97245 Da 10.90 s,0.18,746.97973,,C16H10N16O14S3,bin_153
285.00845 Da 10.90 s,0.18,286.01573,,C8H8N5O3PS,bin_154
786.93577 Da 10.90 s,0.18,787.94304,,C16H6N17O16PS2,bin_155
879.94136 Da 10.90 s,0.18,880.94863,,,bin_156
1038.95250 Da 10.90 s,0.18,1039.95977,,C55H127N10O3PS,bin_157
873.93454 Da 10.90 s,0.18,874.94182,,C33H10N6O20S2,bin_158
2235.55187 Da 11.08 s,0.18,1118.78321,,,bin_159
824.83115 Da 11.17 s,0.19,825.83843,,,bin_160
756.84478 Da 11.18 s,0.19,757.85206,,,bin_161
1377.71225 Da 11.31 s,0.19,689.8634,,,bin_162
832.81878 Da 11.38 s,0.19,833.82605,,,bin_163
3073.85412 Da 11.40 s,0.19,1025.62532,,,bin_164
1397.86931 Da 11.40 s,0.19,699.94193,,,bin_165
1145.96105 Da 11.40 s,0.19,1146.96833,,C45H136N13O12PS2,bin_166
688.93881 Da 11.40 s,0.19,689.94609,,,bin_167
1649.88681 Da 11.40 s,0.19,825.95068,,,bin_168
1655.85254 Da 11.40 s,0.19,828.93355,,,bin_169
1087.63125 Da 11.40 s,0.19,1088.63853,,,bin_170
968.94222 Da 11.40 s,0.19,969.9495,,C50H121N12O3P,bin_171
1827.88653 Da 11.40 s,0.19,914.95054,,,bin_172
923.93348 Da 11.40 s,0.19,924.94075,,,bin_173
1083.95832 Da 11.40 s,0.19,1084.9656,,,bin_174
1439.83331 Da 11.40 s,0.19,720.92393,,,bin_175
722.94122 Da 11.40 s,0.19,723.9485,,C13H18N13O9PS6,bin_176
971.44552 Da 11.40 s,0.19,972.4528,,,bin_177
446.94420 Da 11.40 s,0.19,447.95147,,,bin_178
906.28416 Da 11.40 s,0.19,907.29144,,C28H63N10O9PS6,bin_179
311.91209 Da 11.40 s,0.19,312.91937,,C11H5O3PS3,bin_180
497.94950 Da 11.40 s,0.19,498.95678,,,bin_181
513.92946 Da 11.40 s,0.19,514.93674,,C16H19O5PS6,bin_182
582.93862 Da 11.40 s,0.19,583.9459,,C15H17N7O4S7,bin_183
722.84971 Da 11.63 s,0.19,723.85699,,,bin_184
744.44050 Da 11.90 s,0.2,745.44778,,C24H65N12O10PS,bin_185
963.27750 Da 11.90 s,0.2,964.28477,,,bin_186
248.15923 Da 11.90 s,0.2,249.16651,,C8H20N6O3,bin_187
1025.94619 Da 11.90 s,0.2,1026.95347,,,bin_188
1785.89330 Da 11.90 s,0.2,893.95393,,,bin_189
889.93605 Da 11.90 s,0.2,890.94332,,,bin_190
853.93066 Da 11.90 s,0.2,854.93794,,C22H39N4O5PS12,bin_191
831.92559 Da 11.90 s,0.2,832.93286,,,bin_192
1547.64611 Da 12.19 s,0.2,774.83033,,,bin_193
695.92393 Da 12.41 s,0.21,696.93121,,C21H14O21P2S,bin_194
757.95117 Da 12.41 s,0.21,758.95844,,C17H23N6O16PS5,bin_195
106.93696 Da 12.41 s,0.21,107.94424,,,bin_196
407.95469 Da 12.41 s,0.21,408.96197,,C19H8N2OS4,bin_197
1709.87238 Da 12.41 s,0.21,855.94347,,,bin_198
957.93871 Da 12.41 s,0.21,958.94599,,,bin_199
1613.85771 Da 12.41 s,0.21,807.93613,,,bin_200
805.93100 Da 12.41 s,0.21,806.93828,,,bin_201
792.94526 Da 12.41 s,0.21,793.95254,,C24H5N13O16P2,bin_202
1519.64351 Da 12.59 s,0.21,760.82903,,,bin_203
1517.65943 Da 12.68 s,0.21,759.83699,,,bin_204
1727.60278 Da 12.68 s,0.21,864.80867,,,bin_205
821.82234 Da 12.82 s,0.21,822.82961,,C22H7N4O21PS4,bin_206
1523.82782 Da 12.91 s,0.22,762.92119,,,bin_207
637.92116 Da 12.91 s,0.22,638.92844,,,bin_208
611.94667 Da 12.91 s,0.22,612.95394,,,bin_209
978.93560 Da 12.91 s,0.22,979.94288,,C31H37N3O11S11,bin_210
543.94681 Da 12.91 s,0.22,544.95409,,,bin_211
601.92317 Da 12.91 s,0.22,602.93044,,,bin_212
785.92700 Da 12.91 s,0.22,786.93427,,C17H27N2O19PS6,bin_213
1461.86370 Da 12.91 s,0.22,731.93913,,,bin_214
717.92755 Da 12.91 s,0.22,718.93483,,C28H30S11,bin_215
779.81920 Da 12.94 s,0.22,780.82647,,C26H12N4O7S9,bin_216
1393.68369 Da 13.09 s,0.22,697.84912,,,bin_217
753.83206 Da 13.09 s,0.22,754.83933,,,bin_218
533.92653 Da 13.42 s,0.22,534.9338,,C9H19N4O8PS6,bin_219
773.91874 Da 13.42 s,0.22,774.92601,,,bin_220
569.92336 Da 13.42 s,0.22,570.93063,,,bin_221
669.92574 Da 13.42 s,0.22,670.93302,,,bin_222
705.92084 Da 13.42 s,0.22,706.92811,,C18H26N8S11,bin_223
