Bucket label,RT,m/z,Name,Formula,Peak number
889.93605 Da 11.90 s,0.2,890.94332,,,pos 889.93605 Da 11.90 s
853.93066 Da 11.90 s,0.2,854.93794,,C22H39N4O5PS12,pos 853.93066 Da 11.90 s
831.92559 Da 11.90 s,0.2,832.93286,,,pos 831.92559 Da 11.90 s
1547.64611 Da 12.19 s,0.2,774.83033,,,pos 1547.64611 Da 12.19 s
695.92393 Da 12.41 s,0.21,696.93121,,C21H14O21P2S,pos 695.92393 Da 12.41 s
757.95117 Da 12.41 s,0.21,758.95844,,C17H23N6O16PS5,pos 757.95117 Da 12.41 s
106.93696 Da 12.41 s,0.21,107.94424,,,pos 106.93696 Da 12.41 s
407.95469 Da 12.41 s,0.21,408.96197,,C19H8N2OS4,pos 407.95469 Da 12.41 s
1709.87238 Da 12.41 s,0.21,855.94347,,,pos 1709.87238 Da 12.41 s
957.93871 Da 12.41 s,0.21,958.94599,,,pos 957.93871 Da 12.41 s
1613.85771 Da 12.41 s,0.21,807.93613,,,pos 1613.85771 Da 12.41 s
805.93100 Da 12.41 s,0.21,806.93828,,,pos 805.93100 Da 12.41 s
792.94526 Da 12.41 s,0.21,793.95254,,C24H5N13O16P2,pos 792.94526 Da 12.41 s
1519.64351 Da 12.59 s,0.21,760.82903,,,pos 1519.64351 Da 12.59 s
1517.65943 Da 12.68 s,0.21,759.83699,,,pos 1517.65943 Da 12.68 s
1727.60278 Da 12.68 s,0.21,864.80867,,,pos 1727.60278 Da 12.68 s
821.82234 Da 12.82 s,0.21,822.82961,,C22H7N4O21PS4,pos 821.82234 Da 12.82 s
1523.82782 Da 12.91 s,0.22,762.92119,,,pos 1523.82782 Da 12.91 s
637.92116 Da 12.91 s,0.22,638.92844,,,pos 637.92116 Da 12.91 s
611.94667 Da 12.91 s,0.22,612.95394,,,pos 611.94667 Da 12.91 s
978.93560 Da 12.91 s,0.22,979.94288,,C31H37N3O11S11,pos 978.93560 Da 12.91 s
543.94681 Da 12.91 s,0.22,544.95409,,,pos 543.94681 Da 12.91 s
601.92317 Da 12.91 s,0.22,602.93044,,,pos 601.92317 Da 12.91 s
785.92700 Da 12.91 s,0.22,786.93427,,C17H27N2O19PS6,pos 785.92700 Da 12.91 s
1461.86370 Da 12.91 s,0.22,731.93913,,,pos 1461.86370 Da 12.91 s
717.92755 Da 12.91 s,0.22,718.93483,,C28H30S11,pos 717.92755 Da 12.91 s
779.81920 Da 12.94 s,0.22,780.82647,,C26H12N4O7S9,pos 779.81920 Da 12.94 s
1393.68369 Da 13.09 s,0.22,697.84912,,,pos 1393.68369 Da 13.09 s
753.83206 Da 13.09 s,0.22,754.83933,,,pos 753.83206 Da 13.09 s
533.92653 Da 13.42 s,0.22,534.9338,,C9H19N4O8PS6,pos 533.92653 Da 13.42 s
773.91874 Da 13.42 s,0.22,774.92601,,,pos 773.91874 Da 13.42 s
569.92336 Da 13.42 s,0.22,570.93063,,,pos 569.92336 Da 13.42 s
669.92574 Da 13.42 s,0.22,670.93302,,,pos 669.92574 Da 13.42 s
705.92084 Da 13.42 s,0.22,706.92811,,C18H26N8S11,pos 705.92084 Da 13.42 s
1423.83057 Da 13.42 s,0.22,712.92256,,,pos 1423.83057 Da 13.42 s
887.93268 Da 13.42 s,0.22,888.93996,,C35H12N12O6S6,pos 887.93268 Da 13.42 s
789.92275 Da 13.42 s,0.22,790.93003,,,pos 789.92275 Da 13.42 s
1507.85773 Da 13.42 s,0.22,754.93614,,,pos 1507.85773 Da 13.42 s
465.92824 Da 13.42 s,0.22,466.93552,,,pos 465.92824 Da 13.42 s
779.92301 Da 13.42 s,0.22,780.93029,,C21H16N16S9,pos 779.92301 Da 13.42 s
711.82789 Da 13.44 s,0.22,712.83516,,,pos 711.82789 Da 13.44 s
485.91389 Da 13.92 s,0.23,486.92117,,C18H7N4O3PS4,pos 485.91389 Da 13.92 s
643.83305 Da 14.10 s,0.23,644.84033,,C19H12N6S10,pos 643.83305 Da 14.10 s
329.93674 Da 14.42 s,0.24,330.94402,,C9H14OS6,pos 329.93674 Da 14.42 s
